n^EWpe*J0p|番組|1
mUaxVppa<.|手抜かりがあった。|2
d%S>^v5^v[|感冒にかかった。|6
r[zN-y_c1l|気配りが大切だ。|2
mJQd&T0TDW|フンパを演奏しなさい。|1
nFs;[Sg>xN|一月十五日は成人の日です|1
dNSn~888E3|一昨年|8
eOy/GX0sWk|XをYまで送ります|1
h7o9u,GG$;|XをYへ連れて行きます|3
t;iv]9qX<K|生野菜|83
}71_7>8c(|彼はあぐらをかいてしゃべっていますね。|1
jV(L>s?7TF|はく|27
dgDDknX-ny|かける|1
qbadA.VKrC|書名|50
dT$t1.@%3F|借家|1
c&SBXXw<al|かわいい子犬を飼っています|34
bG;A?e+c&A|あそこに杉の大木があります|1
t@^bTcB2TK|法隆寺はどこにありますか|100
kCiJtS+9I/|彼女は私をにらんだの。|1
eEiT.6bEFx|この鉛筆はとがっていますね。|3
m*yN`7ZnwK|彼は山のふもとに住んでいるよ。|1
j-1`x)6KMa|彼女は指輪をたくさんはめていますね。|1
m1juhwn3{a|母は毎日てきぱきと家事をしているよ。|1
kf?PWY06f!|彼は一人で何かつぶやいていたの。|1
lZ%_R#G%4=|運動して汗びっしょりです。|4
m+IX-]GJn`|彼女の美しさにはっとしたよ。|1
jU25owo97_|彼が仕事を休むのはまれです。|1
iReU%z/s1s|彼はいつのまにいなくなったの。|1
jA{vm<{(aw|従士ブライリング、ハーフィンガルの防衛状況について報告は？|5
o+<cSAHAqJ|彼は辛いものが好きです。|151
c#%RGo/J1b|いらない道を狭める。|1
byGfS9hn1e|回数券を使う。|0
mkf!9rS)G7|音楽に故郷はなし。|88
n*Hed&A]:~|今日は都合が悪い。|81
th*k*Y@Ul,|無関係です。|0
iW6oVND9Ry|吟遊詩人はいつでも時間がある|38
lu`*m^#:b,|注目される友達。|48
iS0r;5xJXL|もっと行儀よく食べなさい。|48
uV:{VAa)XH|憎しみで一杯だ。|230
bA16g3#C8u|しょうるんぽん|481
c&2ZZ[.*cC|音楽は何が好きですか|464
jHNjKtXB8.|ちょっと補助してくれないか？|71
s(TFD?BT4,|この建物は建築の規準に達していないよ。|70
p+ZDr53KF]|お勘定をして下さい。|240
li3.<z_kq+|国民は自由を味わった。|0
oxHU~`/gs(|タオルで体を拭きました。|0
pOp7OP^k#9|レストランでピザを注文しました。|0
usc#aVx4vZ|明日、委員会が開かれます。|0
tLJYjnw<!^|米国大統領は今来日中です。|0
JJj?S5Q0.C|部屋が広いホテルに宿泊しました。|1
bg9`my1MFu|大学で経済を勉強しました。|1
iK19>oeWvK|弟を背負う。|1
r06v![B^;6|彼は化学の教授です。|0
oX9NvZ&mD9|言ったでしょ、このお城のことは何でも知っているんだ|0
i36vJ1Cc5~|人の悪口を言うな。|0
vqP?C+Ohkc|外科|1
dbBv.wq:is|私の所持品です。|0
t:TjKKxjJW|全部所持品です。|0
fN3N&dDgy.|教授はフランス文学の専門家。|0
tAL3g]>SKa|損はしないよ。|0
d>.4=lrI9-|街に空き家はあるんだが、ちょっと…　最近良くない事件があったものでね。悪いが住むのはまだ無理だよ|0
obBK4tDXH]|私にはとても有益だった。|0
oz~^?uE>bS|検査の結果が分かる。|0
h!k,I^2^5[|英語の題名は「Norwegian Wood」と言います。|0
kVl.1RS^A(|生まれつき才能のある人。|0
c0A,:`{hhR|急いで移動するぞ！|0
n~zB-:Q{.C|もう勘弁しないぞ。|0
tug,XSs{a*|お願い、助けて。お腹が減って死にそう|0
lPeU`1gBLX|口では大阪の城も建つ。|0
lkfiv-xxl6|どうしたね？　肉の品質を確かめるには、よく血を見ないと。肉が新鮮かどうか、他にどうやったら分かる？|0
pWA!Sg}mW-|この城は美しい。|0
o&?YAU/#8Z|私は窓側の席に座った。|0
h@#umttQlK|お金は明日返すよ。|0
l4X94oy)nX|手本を見ながら習字をしました。|0
c,t]y`1!c0|彼は評判がよい。|0
f0R[y29wxW|評判のよい映画を見る。|0
p{U,fRw+eo|この道は通行できません。|0
j)-^D?n]){|課題は7月5日までに提出してください。|0
f*8pj9B?:I|富士山は日本一高い山です。|0
t/=Z{ZUDcH|作文の題名を考える。|0
n@%u*jZQ5A|これは日本一古い建物です。|0
iy5q#ND9]1|車を倉庫に入れなさい。|0
jo*UK%kn+5|幸福って何？|0
m1Tx?65e6o|マラソンで誰も遅れをとらなかった。|0
fC=8))~eJ|赤い影のようにきれいな血だな！|0
dCas=Pai%S|ここには影も形もない。|0
oS)Rr$*?Hr|水は外側から供給された。|0
sYnl}jIvSY|東北地方は旅行する価値があります。|0
e=qc!qkX+h|洗剤をたくさん買ったので重い。|0
vt49WHRqmT|彼は神を信じている。|0
bc]./[4^J/|目的は手段を選ばない。|0
q1x8AqH^$B|電話で航空券を予約しました。|0
t&}^Pjh:`;|想像すらできない。|0
bu!3]S[^jN|そんなことは想像できないよ。|0
s&b8h2n^v~|壊したものを弁償しました。|0
qta^y&34R(|ブルータス、お前もか？|0
d{ra%ZMDH]|断水になった。|0
pH{%bT.MaI|このあたりは流れが速い。|0
d%;ktLkt#d|どうせお前は。|0
dM?@6YDHX1|見かけない顔だな。会ったことはないよな？　忘れてるだけなら、勘弁してくれ|0
oS5;iUh:HH|実際のところ、お前は知っているぞ。多分|0
sp_Q/<u~Ty|農業をする人の数は、毎年減っている。|0
jhX2~iR}`?|いい見方だ。他に何かあるか？|0
ob5,J/&xFE|最近、彼の評価が上がった。|0
mk36qJ1:0A|彼に対する見方が変わりました。|0
c>*LKf4qj7|気温は35度に達した。|0
gz=ry39c=6|七夕は七月に祝う。|0
f/$cOtU?Vx|彼はとても体格がいいわ。|0
euS;dN[[,z|彼の評価は高く評価された。|0
o;{c$Q)S6A|彼女の顔は健康そうな血色をしていた。|0
o`eW4lVo?M|それは彼の利益になる。|0
AFhOGBTT{|もうお前の負けだ！|0
m#@zVTU&VS|恐怖映画を見た。|0
qN9hCSFLC8|入場券は当日でも買えますよ。|0
f)sV-;Ze%e|いるだけ持っていらっしゃい。|0
e7&`T~m[K|今は時期が悪い|0
cWdxS6gLzw|妹夫婦は新婚です。|0
Rj`DTq!wG|次の出方をよく考えて…|0
